,t,y,pmi,npmi,dice,zscore
1631,would,1984,8.61875509425801,0.60763704784881,0.003207984316521119,25.49678100666851
1632,would,1985,8.366626557799224,0.5717676639231182,0.00200636502006365,18.522730092953367
1633,hand,1957,10.358129121677889,0.6223547058144536,0.0018421860607921398,12.574990939134478
1634,hand,1958,9.726316921356721,0.5721466675320015,0.0012146978439113271,8.163900856324677
1635,hand,1959,9.241785416233224,0.5200849076065057,0.0005762028233938346,4.82357505447466
1636,hand,1961,9.14594852558074,0.5310653403616812,0.0009465215333648839,6.580011889379221
1637,hand,1962,10.94025763923257,0.654198827309837,0.0016348773841961851,15.481211919323087
1638,hand,1963,9.751227055710757,0.5709309298629216,0.0011737089201877935,8.238784745297313
1639,hand,1964,9.280333519953942,0.5409421256652516,0.0010652463382157125,6.920832255442048
1640,hand,1966,9.059885424613746,0.5410495136069396,0.0015082956259426846,7.800739992883201
1641,hand,1967,9.494839485831587,0.5716033705325793,0.00196078431372549,10.601339348642203
1642,hand,1968,8.809988916505338,0.5445706601957445,0.0028619127116622945,10.02653563397468
1643,hand,1969,9.853577346646183,0.6224754468328793,0.003969238402381543,17.106035224152258
1644,hand,1970,9.33712560076766,0.5665989730622457,0.0019126554032515143,8.658159828794199
1645,hand,1971,8.09349684462353,0.4704717137972833,0.0010047726701833712,4.351849826441821
1646,hand,1972,9.31488741130316,0.5671269980278442,0.002328288707799767,11.085121810569738
1647,hand,1973,8.522543294509076,0.4952700897655094,0.0010397712503249284,5.174668809700189
1648,hand,1974,8.923552001140488,0.5371678744818064,0.0020188425302826384,7.405963073305932
1649,hand,1975,10.255054632457183,0.690729637845503,0.010944563407090173,33.55023755411947
1650,hand,1976,8.631832089226414,0.5561225675767153,0.004958992942971581,13.771928046959902
1651,hand,1977,9.239670408810946,0.6016027313873709,0.006437236939836593,17.37775308705177
1652,hand,1978,8.798874852611869,0.564667927912855,0.004925005596597269,13.51787839695025
1653,hand,1979,8.613497894363483,0.5451145602106228,0.003924866834875246,10.03355050145378
1654,hand,1980,9.069855118062351,0.5818902315939759,0.005093771706413523,14.99375303956984
1655,hand,1981,8.492826835796393,0.525416685101395,0.003015075376884422,8.858030798294136
1656,hand,1982,10.099306037579922,0.6528324409445223,0.006488240064882401,22.9079514009167
1657,hand,1983,9.780684808804427,0.6343587162755567,0.0065632458233890216,19.53113184052083
1658,hand,1984,9.104389615514037,0.5764647355058399,0.004248288883644088,13.74083966585271
1659,hand,1985,8.728296620100375,0.5325128753114987,0.002467308166790032,8.868125871746551
1660,another,1957,9.148881563923812,0.5366254550777525,0.0007998400319936012,6.5873906036820395
1661,another,1961,9.96918240888828,0.6113962845940165,0.0016806722689075631,14.105446523961886
1662,another,1962,8.771783842288258,0.49219540288198216,0.00036443148688046647,4.0334313409544675
1663,another,1963,8.136063242900418,0.45778512039576846,0.00038454143433955013,3.131756426569347
1664,another,1964,7.704483081723157,0.4316474356920206,0.0003588731383455948,2.6089673355631713
1665,another,1966,7.079734850781458,0.3967653205832803,0.00038417210910487895,1.9529854563375026
1666,another,1967,9.83322660404884,0.6177526575384779,0.002499609436025621,16.979657632509344
1667,another,1968,6.640668337142708,0.3843763651070739,0.0006472491909385113,2.190074118822431
1668,another,1969,9.066378817021285,0.5679551264221683,0.0023259677687323477,11.945365349417603
1669,another,1970,7.470619388541457,0.4250016105745365,0.000526454330086865,2.350787391120551
1670,another,1971,7.687342675669451,0.44686213544047293,0.0007635044855888529,3.662061419094936
1671,another,1972,9.148158857877561,0.5632279939629508,0.002090228183243337,11.406491185768362
1672,another,1973,9.674645841540915,0.6005643491026996,0.002324230098779779,13.874673429316251
1673,another,1974,9.390174716589408,0.5898693738331794,0.0028208744710860366,12.489118092022862
1674,another,1975,8.877572338577746,0.5758209927818894,0.004314636574842349,15.147675788432375
1675,another,1976,8.901193641594539,0.5935964047053909,0.006143535325328121,19.8847707652233
1676,another,1977,9.47235798269285,0.6405487408871919,0.007793968146391054,25.2105107789435
1677,another,1978,9.282886926012555,0.6234627351755019,0.007073954983922829,22.97597848482788
1678,another,1979,8.03674420691786,0.5037001833029133,0.002676778942672318,7.3622980113152945
1679,another,1980,8.490693861814059,0.5414225941603187,0.0034800765616843574,11.42614935930704
1680,another,1981,9.126449498642211,0.5929810700488382,0.004774146162320969,16.65286244021497
1681,another,1982,8.285622594356775,0.5069069543604737,0.0018772292096865025,7.443037916549381
1682,another,1983,8.448542792804243,0.5272312201960179,0.0026536930561698365,8.703799552638799
1683,another,1984,8.101666006925456,0.5001351208944085,0.0021543985637342907,7.563158399752989
1684,another,1985,9.320863387544136,0.5937754315819012,0.0037664783427495295,15.71189379111686
1685,authority,1957,8.527669257958337,0.5001883961805061,0.0005213084842955819,5.185382135311925
1686,authority,1958,7.637864595155514,0.43169243060834,0.0002872325147206664,2.5338134815581457
1687,authority,1959,9.041754266410749,0.5294816312673848,0.000503651473180559,6.325874717956711
1688,authority,1961,7.315528012701945,0.40834569346844474,0.00026755852842809364,2.1882432125046605
1689,authority,1962,9.831154255302586,0.5878773422901054,0.0007604562737642586,10.390254011799138
1690,authority,1963,7.3666724467612825,0.4144944467952042,0.00022624434389140272,2.2411892397834614
1691,authority,1964,8.133165670374154,0.47407476430240203,0.0004844374470146543,4.4238000104033
1692,authority,1966,6.684752329582366,0.37462955279657406,0.0002932551319648094,1.5874691058356956
1693,authority,1967,7.515786754869176,0.4343372363231636,0.0005028916268544129,3.3933110713817847
1694,authority,1968,8.733115680113528,0.5669134463332275,0.002793596217900505,14.326790786990069
1695,authority,1969,8.689008331459856,0.5489066714943905,0.0018036298049825274,11.04784861008301
1696,authority,1970,7.934113577192662,0.4814608689238351,0.0007326901941629014,4.9870332385009615
1697,authority,1971,8.896198207905035,0.5577491695786361,0.001777777777777778,11.195312507987495
1698,authority,1972,7.2940917567083625,0.430697841666121,0.0005839984426708196,3.7521512134654254
1699,authority,1973,8.298124731126105,0.5093505436356273,0.0009032607713846989,7.48112451862151
1700,authority,1974,9.00820702265689,0.5806647949612481,0.0021913805697589485,13.249277344872615
1701,authority,1975,8.057660036096413,0.5199400744148986,0.0024940247324119293,10.50312228093885
1702,authority,1976,8.183971009224337,0.5440788849138081,0.0038328162073371056,14.636531604166013
1703,authority,1977,8.723760194894954,0.5824018860421094,0.004718152470821951,17.257301063130953
